,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
75,BTGETH,0.00000000,0.000,0.00000000,0.05274500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
76,EVXBTC,0.00000000,0.000,0.00000000,0.00000274,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
77,EVXETH,0.00000000,0.000,0.00000000,0.00062490,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
78,REQBTC,0.00000002,0.416,0.00000503,0.00000482,0.00000483,329.00000000,0.00000481,2130.00000000,0.00000483,311.00000000,0.00000481,0.00000538,0.00000472,5939683.00000000,29.85794160,1674323696078,1674410096078,13565089,13572134,7046
79,REQETH,0.00000000,0.000,0.00000000,0.00004995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
80,VIBBTC,-0.00000006,-1.600,0.00000370,0.00000375,0.00000369,172.00000000,0.00000368,201.00000000,0.00000370,6508.00000000,0.00000375,0.00000379,0.00000363,2644184.00000000,9.79334331,1674323691781,1674410091781,11579799,11582632,2834
81,VIBETH,-0.00000121,-2.318,0.00005181,0.00005258,0.00005100,1202.00000000,0.00005080,2488.00000000,0.00005143,378.00000000,0.00005221,0.00005310,0.00005100,1032482.00000000,53.48819896,1674323656638,1674410056638,2633754,2634092,339
82,HSRETH,0.00000000,0.000,0.00000000,0.01247400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
83,TRXBTC,0.00000005,1.866,0.00000270,0.00000269,0.00000273,12580.00000000,0.00000272,1817165.00000000,0.00000273,308306.00000000,0.00000268,0.00000274,0.00000267,27362597.00000000,73.94875916,1674323696924,1674410096924,68501402,68505416,4015
84,TRXETH,0.00000003,0.080,0.00003790,0.00003768,0.00003771,309.00000000,0.00003771,80991.00000000,0.00003775,6192.00000000,0.00003768,0.00003829,0.00003743,9031126.00000000,342.24494062,1674323696845,1674410096845,35096153,35101286,5134
85,POWRBTC,0.00000015,2.013,0.00000749,0.00000746,0.00000760,20.00000000,0.00000755,4872.00000000,0.00000759,340.00000000,0.00000745,0.00000762,0.00000744,254399.00000000,1.90655991,1674323691779,1674410091779,16426777,16427216,440
86,POWRETH,0.00000020,0.190,0.00010524,0.00010480,0.00010540,314.00000000,0.00010440,7617.00000000,0.00010530,3298.00000000,0.00010520,0.00010640,0.00010450,66235.00000000,6.97057100,1674323425338,1674409825338,3083173,3083274,102
87,ARKBTC,0.00000000,0.000,0.00000000,0.00001679,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
88,ARKETH,0.00000000,0.000,0.00000000,0.00104600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
89,YOYOETH,0.00000000,0.000,0.00000000,0.00005828,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
90,XRPBTC,0.00000018,1.019,0.00001774,0.00001768,0.00001785,3786.00000000,0.00001785,39122.00000000,0.00001786,5011.00000000,0.00001767,0.00001800,0.00001757,11264952.00000000,199.86968242,1674323697057,1674410097057,148681159,148697220,16062
91,XRPETH,-0.00000150,-0.604,0.00024849,0.00024800,0.00024670,245.00000000,0.00024680,9534.00000000,0.00024690,189.00000000,0.00024820,0.00025040,0.00024620,1133234.00000000,281.59852010,1674323696426,1674410096426,27940389,27944845,4457
92,MODBTC,0.00000000,0.000,0.00000000,0.00004280,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
93,MODETH,0.00000000,0.000,0.00000000,0.00116700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
94,ENJBTC,0.00000062,3.342,0.00001915,0.00001852,0.00001917,287.70000000,0.00001915,1910.10000000,0.00001917,2380.50000000,0.00001855,0.00001989,0.00001853,1522767.30000000,29.16510776,1674323682915,1674410082915,39694928,39699709,4782
95,ENJETH,0.00000380,1.459,0.00026828,0.00025980,0.00026420,52.30000000,0.00026440,455.40000000,0.00026580,23.60000000,0.00026040,0.00027870,0.00026010,70978.70000000,19.04225895,1674323697340,1674410097340,7719931,7720329,399
96,STORJBTC,0.00000061,3.951,0.00001562,0.00001537,0.00001605,1.00000000,0.00001595,2071.00000000,0.00001604,89.00000000,0.00001544,0.00001608,0.00001524,370661.00000000,5.78947068,1674323692180,1674410092180,13227420,13228682,1263
97,STORJETH,0.00000000,0.000,0.00000000,0.00029910,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
98,BNBUSDT,5.20000000,1.713,302.99320873,303.60000000,308.70000000,0.49300000,308.60000000,66.38000000,308.70000000,80.71500000,303.50000000,309.20000000,298.40000000,303899.29700000,92079423.12890000,1674323698882,1674410098882,617891537,618146916,255380
99,VENBNB,0.00000000,0.000,0.00000000,0.14920000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
100,YOYOBNB,0.00000000,0.000,0.00000000,0.00059800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
101,POWRBNB,0.00000000,0.000,0.00000000,0.00385000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
102,VENBTC,0.00000000,0.000,0.00000000,0.00013928,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
103,VENETH,0.00000000,0.000,0.00000000,0.00325194,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
104,KMDBTC,0.00000041,3.648,0.00001146,0.00001126,0.00001165,43.00000000,0.00001162,2047.00000000,0.00001164,150.00000000,0.00001124,0.00001183,0.00001115,520576.00000000,5.96696736,1674323683858,1674410083858,13420546,13422053,1508
105,KMDETH,0.00000000,0.000,0.00000000,0.00020970,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
106,NULSBNB,0.00000000,0.000,0.00000000,0.01257000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
107,RCNBTC,0.00000000,0.000,0.00000000,0.00000074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
108,RCNETH,0.00000000,0.000,0.00000000,0.00037604,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
109,RCNBNB,0.00000000,0.000,0.00000000,0.00347300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743637,1670907143637,-1,-1,0
